Variable,Assertion Type,Code Cell,Line Number
epoch,UNKNOWN__print,3,38
batch_idx * len(data),UNKNOWN__print,3,38
len(train_loader.dataset),UNKNOWN__print,3,38
100.0 * batch_idx / len(train_loader),UNKNOWN__print,3,38
loss.item(),UNKNOWN__print,3,38
nbtest_tmpvar_0,MODEL_ARCH__eval,3,44
test_loss,UNKNOWN__print,3,55
correct,UNKNOWN__print,3,55
len(test_loader.dataset),UNKNOWN__print,3,55
100.0 * correct / len(test_loader.dataset),UNKNOWN__print,3,55
nbtest_tmpvar_1,DATASET__train,3,78
nbtest_tmpvar_2,PLOT__image_plot,6,1
