"col0","col1","col2"
"index",37,31
"index",66,60
"index",97,91
"index",127,121
"index",157,151
"np",4,3
"np",12,6
"np",14,6
"np",28,6
"np",45,6
"np",47,6
"np",57,6
"np",75,6
"np",77,6
"np",88,6
"np",105,6
"np",107,6
"np",118,6
"np",135,6
"np",137,6
"np",148,6
"graphviz",26,5
"graphviz",55,5
"graphviz",86,5
"graphviz",116,5
"graphviz",146,5
"pd",29,7
"pd",31,7
"pd",32,7
"pd",35,7
"pd",58,7
"pd",60,7
"pd",61,7
"pd",64,7
"pd",89,7
"pd",91,7
"pd",92,7
"pd",95,7
"pd",119,7
"pd",121,7
"pd",122,7
"pd",125,7
"pd",149,7
"pd",151,7
"pd",152,7
"pd",155,7
"DecisionTreeRegressor",17,8
"DecisionTreeRegressor",52,8
"DecisionTreeRegressor",83,8
"DecisionTreeRegressor",113,8
"DecisionTreeRegressor",143,8
"export_graphviz",19,8
"export_graphviz",54,8
"export_graphviz",85,8
"export_graphviz",115,8
"export_graphviz",145,8
"shap",36,9
"shap",65,9
"shap",96,9
"shap",126,9
"shap",156,9
"N",12,10
"N",14,10
"N",15,10
"N",16,10
"N",45,43
"N",47,43
"N",48,43
"N",49,43
"N",50,43
"N",51,43
"N",75,73
"N",77,73
"N",78,73
"N",79,73
"N",80,73
"N",81,73
"N",82,73
"N",105,103
"N",107,103
"N",108,103
"N",109,103
"N",110,103
"N",111,103
"N",112,103
"N",135,133
"N",137,133
"N",138,133
"N",139,133
"N",140,133
"N",141,133
"N",142,133
"M",12,11
"M",28,11
"M",45,44
"M",57,44
"M",75,74
"M",88,74
"M",105,104
"M",118,104
"M",135,134
"M",148,134
"X",13,12
"X",15,12
"X",18,12
"X",46,45
"X",48,45
"X",49,45
"X",50,45
"X",53,45
"X",76,75
"X",78,75
"X",79,75
"X",80,75
"X",84,75
"X",106,105
"X",108,105
"X",109,105
"X",110,105
"X",114,105
"X",136,135
"X",138,135
"X",139,135
"X",140,135
"X",144,135
"y",16,14
"y",18,14
"y",51,47
"y",53,47
"y",72,47
"y",81,77
"y",82,77
"y",84,77
"y",111,107
"y",112,107
"y",114,107
"y",141,137
"y",142,137
"y",144,137
"single_split_model",18,17
"single_split_model",20,17
"single_split_model",36,17
"dot_data",26,19
"dot_data",55,54
"dot_data",86,85
"dot_data",116,115
"dot_data",146,145
"graph",27,26
"graph",56,55
"graph",87,86
"graph",117,116
"graph",147,146
"xs",30,28
"xs",59,57
"xs",90,88
"xs",120,118
"xs",150,148
"df",34,29
"df",34,32
"df",42,29
"df",42,32
"df",63,58
"df",63,61
"df",71,58
"df",71,61
"df",94,89
"df",94,92
"df",102,89
"df",102,92
"df",124,119
"df",124,122
"df",132,119
"df",132,122
"df",154,149
"df",154,152
"df",162,149
"df",162,152
"idx",31,30
"idx",60,59
"idx",91,90
"idx",121,120
"idx",151,150
"x",36,30
"x",65,59
"x",96,90
"x",126,120
"x",156,150
"and_model",53,52
"and_model",54,52
"and_model",65,52
"or_model",84,83
"or_model",85,83
"or_model",96,83
"xor_model",114,113
"xor_model",115,113
"xor_model",126,113
"and_fb_model",144,143
"and_fb_model",145,143
"and_fb_model",156,143
